Your initials,"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Basic info,Some basic information about the space,Text description of space,Who can use the space?,Type of space,In library,Street address,Floor,Decimal GPS coordinates (lattitude) eg 52.197949,Decimal GPS coordinates (longitude) eg 0.122951,Opening hours ,Access restrictions,Description of access restriction,Disabled access,Website URL,Phone number,Twitter,Facebook page,Disciplined?,Relaxed or informal?,Historic?,Modern?,Inspiring or thought provoking?,Cosy?,Social?,Friendly or welcoming?,Strictly silent,Whispers,Background chatter,Animated discussion,Music playing,Features & facilities,Food & drink allowed,Natural daylight,Attractive views out of the window,Large desks,Free Wifi,No WiFi,Computers,Laptops allowed,Plug sockets,Phone signal,Printers and copiers,Whiteboards,Projector,Outdoor seating,Bookable,Toilets nearby,Close to refreshments,Close to a place to take a break,"If this is a café, restaurant or bar how expensive is it?(1 = cheap, 5 = expensive)",...in private?,...close to others?,...alongside friends?,...in a group?,Tags
ssvp,Baines Wing Café,"Ground floor, Baines Wing, Campus Map ref 58 https://www.leeds.ac.uk/campusmap",Café with indoor and outdoor seating,"Situated between the School of Healthcare and the Great Hall, Baines Wing Café has a large seating area including its own secluded courtyard which is perfect to enjoy the sunny weather.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80745464,-1.553855264,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/baineswing/,,https://twitter.com/GreatFoodLeeds,,,x,,,,x,x,x,,,,x,,,x,x,x,,x,,,x,,x,,,,x,,x,x,,3,,x,x,x,"open, busy, food"
ssvp,Fuse Cafe in Chemical and Process Engineering,"Ground floor Chemical and Process Engineering Building, Campus Map ref 48 https://www.leeds.ac.uk/campusmap",Café with indoor seating,Fuse at The School of Chemical and Process Engineering is a hidden gem located in the Engineering buildings,Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground Mezzanine,53.81015521,-1.55714428,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/fuse/,,https://twitter.com/GreatFoodLeeds,,,x,,x,,x,x,x,,,x,x,,,x,,x,x,x,,,x,x,x,,,,,,x,x,x,3,,x,x,x,"silent, mordern, good coffee"
nzm,Edit Room Café in Edward Boyle Library,Level 9 Edward Boyle Library Campus Map ref 83 https://www.leeds.ac.uk/campusmap,Café with indoor seating,"Situated on the ground floor of the Edward Boyle Library, the cafe provides an eclectic mix of grab and go food and drinks for everyone to enjoy at any time of the day.",Anyone (public),Café,yes,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 9,53.80615604,-1.55472811,"Café open 8.30am-4pm, building open 8am-6pm weekdays",,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/the-edit-room/,,https://twitter.com/GreatFoodLeeds,,,x,,x,,,x,x,,,,x,,,x,x,x,,x,,,x,x,x,,,,x,,x,x,x,3,,x,x,x,"talking , food , calming"
ssvp,Esther Simpson Café in Esther Simpson Building,"Ground floor Esther Simpson Building, Campus Map ref 12 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"Located in the new Esther Simpson building on the edge of Woodhouse Moor, the café is modern and relaxed, serving speciality coffee from Darkwoods.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80655803,-1.559424814,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/esther-simpson-cafe,,https://twitter.com/GreatFoodLeeds,,,x,,x,,x,x,x,,x,x,x,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,4,x,x,x,x,"formal, well maintained, new"
ssvp,Café Maia  in Marjorie and Arnold Ziff Building,"Level 10 Marjorie and Arnold Ziff Building, Campus Map ref 77 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"Café Maia at Ziff is perfect for meetings, to take a break or even to do some work in the computer area.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 10,53.80656907,-1.553827912,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/ziff/,,https://twitter.com/GreatFoodLeeds,,x,x,,,,x,,,,x,x,,,,x,x,,,x,,,x,x,x,,,,,,x,x,x,2,x,x,x,x,"isolated,food,coffee"
ssvp,Costa Parkinson Court in Parkinson Building,"Ground floor Parkinson Building, Campus Map ref 60 https://www.leeds.ac.uk/campusmap",Café with indoor seating,Parkinson Court Café sits in one of the most iconic buildings at the University of Leeds.,Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80776358,-1.552688693,"Café open 8.30am-3pm, building open 8am-6pm weekdays","yes, Parkinson Steps",Access via lift from Woodhouse Lane next to the Parkinson Steps,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/parkinson/,,https://twitter.com/GreatFoodLeeds,,x,,x,,x,x,,x,,x,x,,,,x,x,x,,x,,,x,,x,,,,,,x,x,x,3,x,x,x,,"historic, silent, inspiring"
ssvp,Refectory ,"Ground and mezzanine floor seating in the Refectory, Campus Map ref 29 https://www.leeds.ac.uk/campusmap",Refectory with indoor and outdoor seating,"Located right at the heart of University campus, the contemporary Refectory venue offers a wide range of hot and cold food each day.",Anyone (public),Refectory,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80685681,-1.55657117,Refectory open 8:00amé6:30pm: Sat & Sun 10am-2pm ,no,,yes,https://gfal.leeds.ac.uk/where-to-eat/refectory/,,https://twitter.com/GreatFoodLeeds,,,x,,,,x,x,x,,,,x,,,x,,,x,x,,,x,x,x,,,,,,x,x,x,4,x,x,x,x,"busy, noisy, meal food available"
ssvp,Café Seven  in Worsley Building,"Level 7 Worsley Building, next to Airport Lounge, Campus Map ref 95 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"Located in the Worsley building, Café Sevenéis one of our most popular and vibrant cafés. Recently refurbished the large seating area is a great place to meet with friends.",Anyone (public),Café,yes,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80330122,-1.555752941,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/cafeseven/,,https://twitter.com/GreatFoodLeeds,,,x,,,,,x,x,,,x,x,,,x,,,,x,,,x,x,x,,,,,,x,x,x,3,,x,x,x,"Cafe, warm jacket potatos, coffee available"
ssvp,Loma in Worsley Building,"Level 9 Worsley Building, Campus Map ref 95 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"LOMA is a unique offering on campus serving up specially selected craft coffee, delicious drinks and handcrafted salads and sandwiches.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 9,53.80330122,-1.555752941,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/loma-cafe/,,https://twitter.com/GreatFoodLeeds,,x,x,,x,,x,x,x,,x,x,x,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,3,x,x,x,,"mordern, coffee, casual"
ssvp,1915 (Sir William Henry Bragg),"Ground floor Sir W H Bragg Building, Campus Map ref 53 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"1915 is based in the Sir William Henry Bragg Building on Woodhouse Lane, its relaxed and informal menu has been carefully created to offer a mix of both classic and on-trend options.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80910265,-1.553932038,"Café open 8.30am-4pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/1915/,,https://twitter.com/GreatFoodLeeds,,,,,x,,x,x,x,,,x,,x,,x,x,x,x,x,,,x,x,x,,,,,,,x,x,3,x,x,x,x,"mordern, music playing, coffee"
